"Source Domain","Original Action/Verb","Context","Syntelos Path","Ambiguity Level","Rationale","AI Model"
"Lab Equipment IoT","Reserve Microscope Time","Researcher books instrument","/align/book","Low","Resource reservation.","Claude Sonnet 4.5"
"Legal e-sign escrow","Place deed in escrow","Conditional asset custody","/trade/hold","Low","Asset held pending requirements.","ChatGPT 5.1"
"LinkedIn API","POST /people/invite","Sending a connection request to stranger","/relate/seek","Low","Finding new connections.","Gemini 2.0 Flash"
"MCP (Claude)","list_tools","AI asking what capabilities it has","/operate/ask","GAP","This is an agent introspection. Is it /share/ask? /operate/watch? It doesn't fit human social telos well.","Gemini 2.0 Flash"
"MCP Tool","brave_web_search","Agent searches internet","GAP","High","Unilateral query to impersonal system; no counterparty relationship.","Claude Sonnet 4.5"
"MCP Tool","filesystem_read","Agent reads local file","GAP","High","This is unilateral data access, not a multiparty interaction; taxonomy doesn't cover single-actor resource access.","Claude Sonnet 4.5"
"Matter (IoT)","UnlockDoor","Smart lock opens for homeowner","/operate/actuate","Low","Changing physical state of a device.","Gemini 2.0 Flash"
"Mediation Platform","Initiate settlement session","Parties negotiate resolution","/govern/settle","Low","Structured conflict resolution.","ChatGPT 5.1"
"Medical IoT","Transmit Vitals (Patient→Clinic)","Device sends health data","/share/notify","Medium","Could be /care/treat (part of care) or /share/notify (data push); chose notify as transmission itself is telos.","Claude Sonnet 4.5"
"Mendeley","Co-author Add","Adding a name to a paper citation","/share/create","Low","Co-creation of IP.","Gemini 2.0 Flash"
"Nostr Protocol","kind: 1 (Text Note)","Broadcasting a censorship-resistant post","/share/perform","Medium","Is it /share/notify (update) or /share/perform (broadcast)? Nostr emphasizes Voice, so Perform fits.","Gemini 2.0 Flash"
"Notary Service","Notarize Document","Witnessing a signature officially","/govern/audit","Medium","Verifying adherence to rules/identity? Closest to Audit.","Gemini 2.0 Flash"
"OIDC4VC","Credential Issuance","Authority issues verifiable credential","/govern/identify","Low","Asserting identity/credentials.","Claude Sonnet 4.5"
"OIDC4VC/OIDC4VP","Auth request for presentation","RP requests verifiable claims","/govern/identify","Low","Identity attribute verification.","ChatGPT 5.1"
"OIDC4VP","Presentation Request","Verifier requests proof","/govern/identify","Low","Verification of credentials.","Claude Sonnet 4.5"
"OIDC4VP","present_proof","User sharing Over 21 credential","/govern/identify","Low","Verifying attributes to a verifier.","Gemini 2.0 Flash"
"Online Voting (Board)","Call for Quorum","Chair verifies attendance","/govern/chair","Low","Managing procedural flow.","Claude Sonnet 4.5"
"Online Voting (Board)","Motion to Table","Postpone decision","/govern/chair","Low","Procedural control action.","Claude Sonnet 4.5"
"Online Voting (Parliament)","Cast Vote (Proxy)","Member votes on behalf of another","/govern/vote","Low","Clear collective decision with delegation.","Claude Sonnet 4.5"
"Open Source Governance","Propose License Change","Maintainer suggests policy shift","/govern/vote","Low","Initiating collective decision on governance.","Claude Sonnet 4.5"
"PayPal API","Create Billing Agreement","Subscription to recurring payments","/trade/subscribe","Low","Repeated value-for-access exchange is subscription.","ChatGPT 5.1"
"Patent Office","Grant Patent","State assigning IP rights to inventor","/govern/permit","High","Granting rights. Could be /share/create (IP), but it's a legal act.","Gemini 2.0 Flash"
"Peer Review System","Assign Reviewer","Editor delegates review","/operate/assign","Low","Task delegation to subordinate.","Claude Sonnet 4.5"
"Peer Review System","Blind Review Submission","Reviewer assesses paper","/operate/evaluate","Low","Performance assessment against standard.","Claude Sonnet 4.5"
"Peer Review System","Submit Manuscript","Author proposes paper","/share/study","Low","Knowledge generation through formal process.","Claude Sonnet 4.5"
"Peer Review System","Submit Review","Scientist grading a colleague's paper","/operate/evaluate","Low","Assessing performance against a standard.","Gemini 2.0 Flash"
"Peer Review System","Submit review report","Reviewer evaluates manuscript","/operate/evaluate","Low","Formal evaluation activity.","ChatGPT 5.1"
"Philips Hue API","Change group scene","Adjust shared environment lighting","/operate/actuate","Medium","Actuating communal experience.","ChatGPT 5.1"
"Plaid API","POST /auth","Verify financial account holder","/govern/identify","Low","Identity/ownership verification fits governance.","ChatGPT 5.1"
"Regulatory Portal","Submit safety incident report","Manufacturer reports adverse event","/govern/audit","Medium","Regulatory compliance workflow.","ChatGPT 5.1"
"ResearchGate","Request Full Text","Asking author for a PDF copy","/share/ask","Low","Retrieving specific data/files.","Gemini 2.0 Flash"
"SEC EDGAR","Submit Form 10-K","Company files annual report","/share/notify","Medium","Could be /govern/audit (compliance) or /share/notify (broadcast); chose notify as primary telos is disclosure.","Claude Sonnet 4.5"
"Salesforce API","PATCH /Lead/{ID}","Updating sales prospect status to Lost","/operate/watch","Medium","Technically updating a record, but the intent is tracking state.","Gemini 2.0 Flash"
"Schema.org Action","EndorseAction","Publicly support entity","/govern/advocate","Low","Persuasion/debate prior to decision.","Claude Sonnet 4.5"
"Schema.org Action","ReserveAction","Hold resource for future","/align/book","Low","Standard booking action.","Claude Sonnet 4.5"
"Schema.org Action","SearchAction","User queries public index","/share/ask","Low","Request for information.","ChatGPT 5.1"
"Schema.org Action","VoteAction","Cast ballot","/govern/vote","Low","Explicit collective decision-making.","Claude Sonnet 4.5"
"SendGrid API","POST /mail/send","Deliver marketing email","/share/notify","Low","One-way promotional broadcast.","Claude Sonnet 4.5"
"Slack API","POST /chat.postMessage","Send message to channel","/relate/chat","Low","Sustaining connection through conversation.","Claude Sonnet 4.5"
"Slack API","POST /reactions.add","React to a message","/relate/chat","Low","Social acknowledgment within existing connection.","Claude Sonnet 4.5"
"Slack API","users.admin.invite","Adding a new employee to workspace","/govern/permit","Medium","Could be /operate/setup (provisioning), but the telos is granting access rights.","Gemini 2.0 Flash"
"Slack UI","Remove user from workspace","Admin revokes member access","/govern/permit","Low","Revoking rights is a permissioning action.","ChatGPT 5.1"
"Slack UI / API","Create Channel and invite","Forming new collaboration chat group","/relate/seek","Low","Creating a social/collaborative space fits relate/seek.","ChatGPT 5.1"
"Smart Home (Matter)","Share Thermostat Control","Grant family member access","/govern/permit","Low","Permission delegation.","Claude Sonnet 4.5"
"Smart Home (Matter)","Unlock Door Remotely","Homeowner opens for guest","/operate/actuate","Low","State change of device.","Claude Sonnet 4.5"
"Smart contract","mintNFT(recipient)","Creator issues NFT to party","/trade/swap","Medium","NFT issuance creates/assigns asset; trade-oriented.","ChatGPT 5.1"
"Smart contract","voteProposal(...)","DAO members cast vote","/govern/vote","Low","Collective decision via voting.","ChatGPT 5.1"
"Spotify API","POST /me/player/queue","Adding a song to a shared party playlist","/relate/play","Low","Shared activity for enjoyment.","Gemini 2.0 Flash"
"Stripe API","POST /v1/charges (capture payment)","Buyer pays merchant for goods","/trade/swap","Low","Payment to complete a purchase is a prototypical asset exchange.","ChatGPT 5.1"
"Stripe API","POST /v1/disputes","Customer contests a charge","/govern/settle","Medium","Could be /trade/swap (reversal) or /govern/settle (formal conflict resolution); settled on latter due to formal arbitration nature.","Claude Sonnet 4.5"
"Stripe API","POST /v1/refunds","Merchant refunds customer's payment","/trade/give","Low","Refund returns value back to customer; telos is transfer of value.","ChatGPT 5.1"
"Stripe API","POST /v1/refunds","Merchant initiates customer refund","/trade/swap","Low","Clear reversal of a purchase transaction; same economic category as original swap.","Claude Sonnet 4.5"
"Stripe API","POST /v1/refunds","Returning funds to a dissatisfied customer","/trade/swap","Low","Reversal of a static value exchange is part of the swap lifecycle.","Gemini 2.0 Flash"
"Stripe Webhook","invoice.payment_failed","Alert merchant about failure","/share/notify","Low","One-way notification event.","ChatGPT 5.1"
"TaskRabbit UI","Confirm Tasker","Hiring someone to assemble furniture","/trade/employ","Low","Contracting for human labor.","Gemini 2.0 Flash"
"Telehealth platform","Start case conference","Clinicians coordinate patient care","/care/support","Medium","Multidisciplinary support coordination.","ChatGPT 5.1"
"Telemedicine Platform","Request Second Opinion","Patient seeks additional diagnosis","/care/treat","Low","Medical care interaction.","Claude Sonnet 4.5"
"Telescope Control","Slew to Coordinates","Moving telescope to view a star","/operate/actuate","Low","Remote device control.","Gemini 2.0 Flash"
"Tesla (OTA)","Install Update","Car downloading new firmware","/serve/maintain","Medium","Routine prevention/upkeep of a system.","Gemini 2.0 Flash"
"Tinder App UI","Super Like","Strong interest signal","/relate/seek","Low","Intensified version of seeking connection.","Claude Sonnet 4.5"
"Tinder App UI","Swipe Right","Express interest in dating","/relate/seek","Low","Finding new connection explicitly.","Claude Sonnet 4.5"
"Tinder UI","Report user","Flag abusive behavior","/govern/enforce","Low","Enforcement against violations.","ChatGPT 5.1"
"Tinder UI","Swipe Right","Expressing romantic interest in a profile","/relate/seek","Low","Establishing connection for its own sake (initially).","Gemini 2.0 Flash"
"Tinder UI","Swipe right / match","Mutual expression of interest","/relate/seek","Low","Seeking social/romantic connection.","ChatGPT 5.1"
"Twilio API","POST /Messages","Send SMS to recipient","/share/notify","Low","One-way push notification; clear fit for notify.","Claude Sonnet 4.5"
"Twilio API","POST /Messages","Sending a 2FA code via SMS","/share/notify","Low","One-way push of information (code) without conversation.","Gemini 2.0 Flash"
"Twilio API","POST /Messages (two-way SMS campaign)","Business solicits responses via SMS","/share/notify","Medium","Primarily a push notification but often includes dialog, hence moderate ambiguity.","ChatGPT 5.1"
"Twitter/X UI","Block @User","Preventing a user from viewing profile","/govern/permit","Medium","Revoking access rights (personal governance).","Gemini 2.0 Flash"
"US Courts PACER","File Motion","Attorney submits legal document","/govern/process","Low","Compulsory legal procedure.","Claude Sonnet 4.5"
"US Courts PACER","Request Transcript","Party orders court record","/share/ask","Low","Retrieving specific data point.","Claude Sonnet 4.5"
"Uber App","Request Ride","Rider requests transport pickup","/align/travel","Low","Coordinating transport event is align/travel.","ChatGPT 5.1"
"Uber App","Share trip status","Rider shares live ETA","/align/move","Medium","Live coordination of movement.","ChatGPT 5.1"
"Uber App UI","Request Ride","Passenger summons driver","/trade/swap","Low","Exchange payment for transportation service.","Claude Sonnet 4.5"
"Uber App UI","Split Fare","Divide payment among riders","/trade/swap","Low","Sub-interaction of swap; multiple parties settling a shared purchase.","Claude Sonnet 4.5"
"Uber UI","Request Ride","Booking a car from home to airport","/align/travel","Medium","Could be /trade/swap (buying a service), but paper explicitly maps transit to /align/travel.","Gemini 2.0 Flash"
"Uniswap (Web3)","swapExactTokens","Trading ETH for USDC","/trade/swap","Low","Instant value exchange on static terms.","Gemini 2.0 Flash"
"University Portal","Post Grades","Professor finalizing student scores","/operate/evaluate","Low","Formal assessment.","Gemini 2.0 Flash"
"Venmo App UI","Request Payment","Ask friend to pay","/trade/lend","Medium","Could be /trade/swap (if splitting bill) or /trade/lend (if settling debt); ambiguous without context.","Claude Sonnet 4.5"
"Venmo UI","Pay Friend","Splitting a dinner bill","/trade/give","High","It's a reimbursement, not a purchase (/swap) or a gift (/give). Taxonomy lacks a Transfer utility node.","Gemini 2.0 Flash"
"Voting Machine","Spoil Ballot","Voter ruining ballot to start over","/govern/vote","Low","Part of the voting mechanics.","Gemini 2.0 Flash"
"WorldCoin","Verify Orb","Scanning iris to prove personhood","/govern/identify","Low","Strongest example of high-assurance identity.","Gemini 2.0 Flash"
"YouTube Studio","Demonetize Video","Platform removing ads from content","/govern/enforce","High","Is it /trade/deal (changing terms) or /govern/enforce (policing content)? Enforce fits safety/order.","Gemini 2.0 Flash"
"Zendesk","Open ticket & assign","Customer requests problem resolution","/share/assist","Low","Assistance/ticketing is support interaction.","ChatGPT 5.1"
"Zoom API","Create meeting w/ registration","Require attendees to pre-register","/govern/identify","Medium","Registration verifies identity to access event.","ChatGPT 5.1"
"Zoom API","POST /meetings","Schedule video conference","/align/meet","Low","Pure time synchronization for interaction.","Claude Sonnet 4.5"
"Zoom API","POST /users/meetings","Scheduling a video conference","/align/meet","Low","Perfect fit: synchronizing time for interaction.","Gemini 2.0 Flash"
"Zoom UI","Schedule Meeting","Organizer proposes meeting time","/align/meet","Low","Scheduling synchronous interaction fits align/meet.","ChatGPT 5.1"
"arXiv.org","Upload Pre-print","Sharing findings before peer review","/share/study","Medium","Or /share/notify? Study implies the process of knowledge generation.","Gemini 2.0 Flash"
